sep=\t
Module Resource Usage Distribution Estimates
Generated at: Jun 21, 2024 11:57:24

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=4)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=3)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=2)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
    +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_32d04aeed835495e81d0eaddcc997863(WIDTH=10)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	
    +genblk7.wr2rd_addr_sync:efx_fifo_datasync_32d04aeed835495e81d0eaddcc997863(STAGE=2,WIDTH=10)	     20(20)	       0(0)	       0(0)	     0(0)	     0(0)	
    +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=10)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	
     +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=9)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=8)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=7)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=6)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=4)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=3)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=2)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
 +ws_wr_fifo_data:phy_FIFO                                  	     104(0)	      30(0)	      48(0)	     0(0)	     0(0)	
  +u_efx_fifo_top:efx_fifo_top_32d04aeed835495e81d0eaddcc997863_renamed_due_excessive_length_1	     104(4)	      30(0)	      48(0)	     0(0)	     0(0)	
   +xefx_fifo_ctl:efx_fifo_ctl_32d04aeed835495e81d0eaddcc997863(SYNC_CLK=0,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=128,PROG_FULL_NEGATE=128,PROG_EMPTY_NEGATE=2)	    100(60)	     30(30)	     48(12)	     0(0)	     0(0)	
    +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_32d04aeed835495e81d0eaddcc997863(WIDTH=10)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	
    +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_32d04aeed835495e81d0eaddcc997863(STAGE=2,WIDTH=10)	     20(20)	       0(0)	       0(0)	     0(0)	     0(0)	
    +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=10)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	
     +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=9)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=8)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=7)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=6)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=4)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=3)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=2)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
    +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_32d04aeed835495e81d0eaddcc997863(WIDTH=10)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	
    +genblk7.wr2rd_addr_sync:efx_fifo_datasync_32d04aeed835495e81d0eaddcc997863(STAGE=2,WIDTH=10)	     20(20)	       0(0)	       0(0)	     0(0)	     0(0)	
    +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=10)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	
     +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=9)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=8)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=7)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=6)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=4)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=3)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_32d04aeed835495e81d0eaddcc997863(WIDTH=2)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
 +ws_bram:bram                                              	       3(3)	       0(0)	       2(2)	     0(0)	     0(0)	
 +wsctrl:WS2812_config_ctrl                                 	     87(87)	       0(0)	   151(151)	     0(0)	     0(0)	
 +data_ctrl:ws2812_data_ctrl                                	       7(7)	       0(0)	     10(10)	     0(0)	     0(0)	
 +WS2812_Interface:WS2812_Interface                         	   128(128)	     35(35)	   288(288)	     0(0)	     0(0)	
 +edb_top_inst:edb_top                                      	 4772(4772)	     88(88)	 4462(4462)	   69(69)	     0(0)	
